Date,Open,High,Low,Close,Volume
1990-03-26,0.243522,0.243522,0.243522,0.243522,491757.4636658
1990-03-27,0.243522,0.260212,0.243522,0.260212,4662184.1045748
1990-03-28,0.260212,0.260212,0.251752,0.251752,1860299.5878965
1990-03-29,0.260212,0.260212,0.251752,0.251752,640430.77534264
1990-03-30,0.260212,0.260212,0.251752,0.251752,2092838.9180702
1990-04-02,0.251752,0.260212,0.243522,0.260212,2920064.469988
1990-04-03,0.260212,0.268552,0.251752,0.260212,3350833.2097871
1990-04-04,0.268552,0.268552,0.260212,0.260212,4768930.4284003
1990-04-05,0.268552,0.277092,0.268552,0.268552,4719372.3233193
1990-04-06,0.277092,0.277092,0.268552,0.277092,1517215.4359076
1990-04-09,0.277092,0.277092,0.268552,0.268552,3423256.5667041
1990-04-10,0.268552,0.268552,0.260212,0.260212,2523605.650737
1990-04-11,0.268552,0.268552,0.260212,0.268552,4097999.2697273
1990-04-12,0.268552,0.277092,0.268552,0.277092,3876899.5904349
1990-04-16,0.277092,0.277092,0.268552,0.277092,5474165.4862245
1990-04-17,0.277092,0.277092,0.277092,0.277092,8645828.0117029
1990-04-18,0.277092,0.277092,0.268552,0.268552,2729460.1561951
1990-04-19,0.268552,0.268552,0.268552,0.268552,1067384.9600931
1990-04-20,0.268552,0.268552,0.260212,0.268552,1391417.4117286
1990-04-23,0.260212,0.260212,0.251752,0.260212,1189375.4541868
1990-04-24,0.260212,0.268552,0.260212,0.260212,834847.63705183
1990-04-25,0.260212,0.268552,0.260212,0.268552,903465.4710158
1990-04-26,0.268552,0.277092,0.268552,0.268552,1463843.7793441
1990-04-27,0.268552,0.268552,0.260212,0.260212,2249131.3041826
1990-04-30,0.277092,0.285532,0.268552,0.285532,14630813.701175
1990-05-01,0.285532,0.293713,0.285532,0.293713,13247023.392411
1990-05-02,0.293713,0.302232,0.285532,0.302232,4505890.7148963
1990-05-03,0.310582,0.310582,0.302232,0.302232,6522488.7103023
1990-05-04,0.302232,0.318992,0.302232,0.318992,13410939.87079
1990-05-07,0.327392,0.335822,0.318992,0.335822,44494749.410402
1990-05-08,0.335822,0.344282,0.335822,0.344282,18359038.976366
1990-05-09,0.344282,0.344282,0.335822,0.335822,14562194.863644
1990-05-10,0.335822,0.344282,0.335822,0.335822,14001816.555316
1990-05-11,0.335822,0.344282,0.335822,0.335822,12343559.928528
1990-05-14,0.335822,0.344282,0.335822,0.344282,7033310.9206819
1990-05-15,0.344282,0.344282,0.335822,0.344282,9004160.3482247
1990-05-16,0.344282,0.360963,0.344282,0.344282,11523958.468876
1990-05-17,0.352543,0.352543,0.344282,0.352543,14413522.555534
1990-05-18,0.344282,0.352543,0.344282,0.344282,13719721.127194
1990-05-21,0.344282,0.360963,0.344282,0.360963,10094424.61008
1990-05-22,0.360963,0.377862,0.360963,0.377862,35021695.846781
1990-05-23,0.377862,0.386103,0.369323,0.386103,25845988.906514
1990-05-24,0.377862,0.394453,0.377862,0.394453,13430003.613937
1990-05-25,0.386103,0.394453,0.386103,0.386103,15938359.073009
