Date,Open,High,Low,Close,Volume
2020-12-11,25.185,25.185,24.85,24.915,1382
2020-12-14,25.215,25.215,25,25.04,2015
2020-12-15,25.115,25.115,25.02,25.03,245
2020-12-16,25.15,25.165,25.14,25.155,923
2020-12-17,25.235,25.245,25.21,25.215,5807
2020-12-18,25.21,25.25,25.145,25.145,1332
2020-12-21,25.185,25.185,24.85,24.96,4900
2020-12-22,25.03,25.16,25.03,25.095,194
2020-12-23,25.135,25.255,25.135,25.215,60
2020-12-28,25.345,25.45,25.345,25.405,3895
2020-12-29,25.5,25.52,25.46,25.47,433
2020-12-30,25.505,25.565,25.48,25.48,3865
2021-01-04,25.48,25.75,25.265,25.265,12193
2021-01-05,25.225,25.375,25.225,25.375,3723
2021-01-06,25.285,25.605,25.285,25.55,5070
2021-01-07,25.585,25.64,25.5,25.595,2400
2021-01-08,25.85,25.85,25.77,25.82,2776
2021-01-11,25.87,25.93,25.865,25.92,3706
2021-01-12,25.9,25.93,25.9,25.915,17140
2021-01-13,25.925,25.975,25.875,25.97,1223
2021-01-14,26,26.125,26,26.075,10130
2021-01-15,26.01,26.01,25.835,25.885,11345
2021-01-18,25.945,25.975,25.89,25.96,5594
2021-01-19,26.1,26.1,25.995,26.005,758
2021-01-20,25.98,26.285,25.98,26.25,678
2021-01-21,26.43,26.43,26.235,26.235,10398
2021-01-22,26.12,26.12,25.995,26.05,4313
2021-01-25,26.15,26.25,26.025,26.035,9889
2021-01-26,26.12,26.205,26.12,26.135,1510
2021-01-27,26.015,26.1,25.82,25.82,7206
2021-01-28,25.67,25.87,25.435,25.82,8670
2021-01-29,25.51,25.575,25.42,25.42,2045
2021-02-01,25.665,25.69,25.55,25.69,11379
2021-02-02,25.91,26.195,25.91,26.155,7264
2021-02-03,26.235,26.295,26.11,26.16,5028
2021-02-04,26.155,26.355,26.155,26.355,2722
2021-02-05,26.42,26.51,26.42,26.43,9079
2021-02-08,26.45,26.53,26.45,26.485,4520
2021-02-09,26.44,26.505,26.44,26.485,126
2021-02-10,26.505,26.57,26.415,26.415,221
2021-02-11,26.49,26.58,26.49,26.55,1152
2021-02-12,26.485,26.62,26.485,26.61,3240
2021-02-15,26.69,26.795,26.69,26.76,5737
2021-02-16,26.75,26.81,26.685,26.685,1628
2021-02-17,26.75,26.77,26.6,26.63,4970
2021-02-18,26.63,26.655,26.39,26.46,2358
2021-02-19,26.535,26.58,26.47,26.545,2196
2021-02-22,26.27,26.335,26.24,26.3,1727
2021-02-23,26.36,26.36,26.12,26.13,2423
2021-02-24,26.195,26.27,26.065,26.27,1624
2021-02-25,26.315,26.345,26.06,26.06,2010
2021-02-26,25.755,25.92,25.745,25.855,5470
2021-03-01,26.135,26.33,26.12,26.3,4654
2021-03-02,26.325,26.36,26.2,26.2,5867
2021-03-03,26.37,26.37,26.1,26.155,1761
2021-03-04,25.955,26.03,25.915,26.03,2777
2021-03-05,25.82,25.92,25.805,25.805,1034
2021-03-08,26.04,26.32,26.04,26.32,10757
2021-03-09,26.19,26.46,26.19,26.425,586
2021-03-10,26.42,26.53,26.37,26.47,4878
2021-03-11,26.625,26.655,26.52,26.635,2410
2021-03-12,26.535,26.615,26.535,26.54,976
2021-03-15,26.7,26.7,26.615,26.645,1788
2021-03-16,26.845,26.925,26.795,26.855,16817
2021-03-17,26.865,26.865,26.685,26.735,4736
2021-03-18,26.8,26.8,26.675,26.745,5723
2021-03-19,26.66,26.79,26.545,26.625,7624
2021-03-22,26.685,26.685,26.6,26.68,51017
2021-03-23,26.68,26.78,26.61,26.71,2923
2021-03-24,26.58,26.72,26.58,26.655,1409
2021-03-25,26.575,26.605,26.49,26.59,5059
2021-03-26,26.835,26.835,26.735,26.785,2438
2021-03-29,26.98,26.98,26.875,26.895,5464
2021-03-30,26.965,27.02,26.95,26.99,1342
2021-03-31,27.02,27.09,26.93,27.075,7246
2021-04-01,27.15,27.225,27.1,27.2,6431
2021-04-06,27.385,27.385,27.3,27.37,6037
2021-04-07,27.305,27.305,27.15,27.2,3686
2021-04-08,27.385,27.385,27.31,27.315,5863
2021-04-09,27.37,27.385,27.345,27.345,5619
2021-04-12,27.395,27.395,27.315,27.33,4037
2021-04-13,27.415,27.415,27.325,27.365,8839
2021-04-14,27.435,27.46,27.385,27.395,3194
2021-04-15,27.415,27.54,27.38,27.495,10362
2021-04-16,27.57,27.605,27.525,27.575,8767
2021-04-19,27.62,27.63,27.435,27.435,6525
2021-04-20,27.42,27.42,27.14,27.14,9559
2021-04-21,27.215,27.33,27.17,27.27,2982
2021-04-22,27.405,27.455,27.35,27.435,4524
2021-04-23,27.345,27.43,27.275,27.39,7411
2021-04-26,27.41,27.48,27.295,27.46,12597
2021-04-27,27.51,27.51,27.4,27.405,3843
2021-04-28,27.39,27.45,27.38,27.395,2765
2021-04-29,27.395,27.505,27.36,27.37,19517
2021-04-30,27.415,27.425,27.315,27.37,5609
2021-05-03,27.455,27.475,27.36,27.425,4000
2021-05-04,27.48,27.495,27.195,27.195,12531
2021-05-05,27.42,27.475,27.285,27.45,10237
2021-05-06,27.485,27.485,27.3,27.37,13315
2021-05-07,27.525,27.57,27.455,27.57,10380
2021-05-10,27.535,27.535,27.42,27.475,6401
2021-05-11,27.255,27.255,26.9,27.04,12801
2021-05-12,27.105,27.11,26.935,26.935,12925
2021-05-13,26.74,27.015,26.57,26.92,9563
2021-05-14,27.05,27.15,26.95,27.12,2783
2021-05-17,27.175,27.175,27.035,27.06,7259
2021-05-18,27.25,27.25,27.08,27.095,4737
2021-05-19,26.845,26.845,26.57,26.73,10043
2021-05-20,26.895,26.975,26.8,26.975,23557
2021-05-21,26.97,27.22,26.955,27.135,36820
2021-05-25,27.355,27.355,27.26,27.26,5295
2021-05-26,27.345,27.345,27.26,27.305,6646
2021-05-27,27.345,27.445,27.29,27.39,5206
2021-05-28,27.49,27.57,27.465,27.51,8423
2021-05-31,27.5,27.51,27.37,27.37,8011
2021-06-01,27.49,27.6,27.435,27.445,4089
2021-06-02,27.52,27.575,27.48,27.56,4498
2021-06-03,27.58,27.59,27.43,27.565,8013
2021-06-04,27.605,27.655,27.51,27.645,2252
2021-06-07,27.675,27.735,27.6,27.625,6236
2021-06-08,27.71,27.745,27.62,27.635,3369
2021-06-09,27.7,27.7,27.61,27.68,10524
2021-06-10,27.735,27.75,27.635,27.715,2764
2021-06-11,27.785,27.9,27.77,27.865,4667
2021-06-14,27.995,28,27.875,27.88,8588
2021-06-15,28.005,28.005,27.89,27.89,5532
2021-06-16,27.935,27.935,27.85,27.92,1422
2021-06-17,27.945,28.14,27.94,28.14,2778
2021-06-18,28.145,28.155,27.865,27.885,7323
2021-06-21,27.84,27.955,27.75,27.925,11936
2021-06-22,28.07,28.07,27.95,28.02,5833
2021-06-23,28.175,28.175,28,28.015,8985
2021-06-24,28.13,28.195,28.07,28.14,2314
2021-06-25,28.225,28.235,28.18,28.235,2676
2021-06-28,28.295,28.325,28.225,28.225,8126
2021-06-29,28.31,28.395,28.25,28.35,8850
2021-06-30,28.43,28.43,28.26,28.34,2990
2021-07-01,28.415,28.47,28.32,28.355,17379
2021-07-02,28.49,28.545,28.45,28.49,4714
2021-07-05,28.54,28.57,28.485,28.57,4999
2021-07-06,28.495,28.61,28.45,28.475,14610
2021-07-07,28.6,28.655,28.55,28.61,16548
2021-07-08,28.535,28.535,28.2,28.265,7482
2021-07-09,28.44,28.55,28.325,28.545,2655
2021-07-12,28.585,28.64,28.48,28.62,2682
2021-07-13,28.69,28.775,28.64,28.72,3769
2021-07-14,28.72,28.78,28.68,28.68,10714
2021-07-15,28.69,28.69,28.6,28.61,6371
2021-07-16,28.655,28.69,28.54,28.54,16168
2021-07-19,28.42,28.42,28.04,28.115,9165
2021-07-20,28.31,28.44,28.195,28.365,10217
2021-07-21,28.51,28.57,28.455,28.535,2233
2021-07-22,28.69,28.705,28.545,28.675,29743
2021-07-23,28.79,28.82,28.76,28.815,4091
2021-07-26,28.755,28.775,28.615,28.775,2579
2021-07-27,28.705,28.705,28.455,28.455,13502
2021-07-28,28.62,28.735,28.56,28.66,2133
2021-07-29,28.725,28.75,28.68,28.705,5649
2021-07-30,28.525,28.65,28.415,28.585,4971
2021-08-02,28.755,28.765,28.66,28.695,5886
2021-08-03,28.7,28.715,28.585,28.66,8799
2021-08-04,28.82,28.855,28.75,28.77,2248
2021-08-05,28.805,28.88,28.735,28.88,3065
2021-08-06,28.925,29.015,28.875,28.965,3097
2021-08-09,29,29.04,28.965,29.04,3027
